,Stock_Name,Stock_Symbol
0,Aarti Drugs,AARTIDRUGS
1,Abbott India,ABBOTINDIA
2,Advanced Enzyme,ADVENZYMES
3,Ajanta Pharma,AJANTPHARM
4,Albert David,ALBERTDAVD
5,Alembic,ALEMBICLTD
6,Alembic Pharma,APLLTD
7,Alkem Lab,ALKEM
8,Alpa Labs,ALPA
9,Amrutanjan Heal,AMRUTANJAN
10,Astec Life,ASTEC
11,AstraZeneca,ASTRAZEN
12,Aurobindo Pharm,AUROPHARMA
13,Bafna Pharma,BAFNAPHARM
14,Bal Pharma,BALPHARMA
15,Biocon,BIOCON
16,Brooks Labs,BROOKS
17,Cadila Health,CADILAHC
18,Caplin Labs,CAPLIPOINT
19,Celestial Bio,CELESTIAL
20,Cipla,CIPLA
21,Country Condos,COUNCODOS
22,Dishman Pharma,DISHMAN
23,Divis Labs,DIVISLAB
24,Dr Lal PathLab,LALPATHLAB
25,Dr Reddys Labs,DRREDDY
26,FDC,FDC
27,GlaxoSmithKline,GLAXO
28,Glenmark,GLENMARK
29,Granules India,GRANULES
30,Gufic Bio,GUFICBIO
31,Hester Bio,HESTERBIO
32,Hikal,HIKAL
33,Ind-Swift,INDSWFTLTD
34,Ind-Swift Labs,INDSWFTLAB
35,Indoco Remedies,INDOCO
36,Ipca Labs,IPCALAB
37,JagsonpalPharma,JAGSNPHARM
38,JB Chemicals,JBCHEPHARM
39,Jubilant Life,JUBILANT
40,Kilitch Drugs,KILITCH
41,Kopran,KOPRAN
42,Laurus Labs,LAURUSLABS
43,Lincoln Pharma,LINCOLN
44,Lupin,LUPIN
45,Lyka Labs,LYKALABS
46,Mangalam Drugs,MANGALAM
47,Marksans Pharma,MARKSANS
48,Merck,MERCK
49,Morepen Lab,MOREPENLAB
50,Natco Pharma,NATCOPHARM
51,Nath Bio-Genes,NATHBIOGEN
52,Nectar Life,NECLIFE
53,Neuland Lab,NEULANDLAB
54,Orchid Pharma,ORCHIDPHAR
55,Ortin Labs,ORTINLABSS
56,Panacea Biotec,PANACEABIO
57,Parabolic Drugs,PARABDRUGS
58,Parenteral Drug,PDPL
59,Pfizer,PFIZER
60,Piramal Enter,PEL
61,Piramal Phytoca,PIRPHYTO
62,RPG Life,RPGLIFE
63,Sanofi India,SANOFI
64,Sequent Scienti,SEQUENT
65,Sharon Bio Medi,SHARONBIO
66,Shilpa,SHILPAMED
67,SMS Pharma,SMSPHARMA
68,Sterling Bio,STERLINBIO
69,Strides Shasun,STAR
70,Sun Pharma,SUNPHARMA
71,Sun Pharma Adv,SPARC
72,Suven Life Sci,SUVEN
73,Syncom Health,BYKE
74,Themis Medicare,THEMISMED
75,Torrent Pharma,TORNTPHARM
76,TTK Healthcare,TTKHLTCARE
77,Unichem Labs,UNICHEMLAB
78,Venus Remedies,VENUSREM
79,Vivimed Labs,VIVIMEDLAB
80,Wanbury,WANBURY
81,Wockhardt,WOCKPHARMA
